,courseNum,courseName,description
71,EN53021501,Mechanics-Based Design,"Prereq: EN.530.201 OR EN.560.201
Stresses and strains in three dimensions, transformations. Combined loading of components, failure theories. Buckling of columns. Stress concentrations. Introduction to the finite element method. Design of fasteners, springs, gears, bearings, and other components. 
Limit 18 per lab section (all Mechanical Engineering and Electrical Engineering majors may enroll over stated limit)"
72,EN53044501,Introduction to Biomechanics,An introduction to the mechanics of biological materials and systems. Both soft tissue such as muscle and hard tissue such as bone will be studied as will the way they interact in physiological functions. Special emphasis will be given to orthopedic biomechanics.
73,EN58047501,Biomedical Data Science,"This course provides an introduction to data science and machine learning for biomedical engineering. The lectures cover topics in biomedical data processing (convolution, denoising,  filtering, edge detection, template matching), biomedical data reduction (feature extraction, principal component analysis), and biomedical data regression, classification (including deep learning), and clustering. Background: Signals and Systems"
74,EN60142801,Compilers & Interpreters,More advanced version of EN.601.328. [Systems] Prereq: EN.601.220 and EN.601.226.
75,EN56030101,Structural Systems I,"This course will introduce students to the structural design workflow from concept and ideation to structural modeling and analysis to member and connection design using the reliability-based limit states approach. This first course in a two-course sequence will focus on the analysis and design of structural systems composed primarily of axial force members (e.g. trusses, cables, and arches). Connections to mechanics-based principles will be emphasized and practical applications using common structural materials such as timber, steel, and reinforced concrete will be covered."
76,EN55340201,Research and Design in Applied Mathematics: Data Mining,"The course will be project oriented with focus on practical uses of machine learning and data mining. Throughout the semester, teams of 4 will work on topics decided by the students and the instructor."
77,EN53011101,Intro to MechE Design and CAD,"This course introduces students to the basic engineering design process and to fundamental concepts and knowledge used in the design of mechanical devices and systems. Students will explore the range of tools utilized in design practice, beginning with the skills of hand-drawing, exploring ways to articulate visual ideas, and concluding with the standards of presentation and CAD tools typical in professional practice."
78,EN53040401,MechE Senior Design Project II,"Prereq: Mech.Eng. majors: 530.215 & 530.327; Eng. Mech. majors & BME majors: 530.215 or 530.405 plus 530.327
This senior year “capstone design” course is intended to give some practice and experience in the art of engineering design. Students working in teams of two to four will select a small-scale, industry-suggested design problem in the area of small production equipment, light machinery products, or manufacturing systems and methods. A solution to the problem is devised and constructed by the student group within limited time and cost boundaries. Preliminary oral reports of the proposed solution are presented at the end of the first semester or sooner. A final device, product, system, or method is presented orally and in writing at the end of the second semester. Facilities of the Engineering Design Laboratory (including machine shop time) and a specified amount of money are allocated to each student design team for purchases of parts, supplies, and machine shop time where needed."
79,EN58043501,Applied Bioelectrical Engineering I,"The course is offered in two parts, each a half semester long (1.5 credits each). EN.580.435 explores diverse applications of bioelectrical measurements and manipulation in modern engineering practice. Topics include functional electrical stimulation, deep brain stimulation, cardiac pacing and defibrillation, tissue ablation and cancer treatment. The second part of the course, EN.580.436,  is optional and will consist of a lab project involving the physical manipulation of cells, mentored by the instructors and carried out by the entire class.
Recommended Course Background: EN.580.421 and EN.580.422."
80,EN58043901,Models of the Neuron,"Prereq: 110.301, 580.421-422 or equivalent               Single-neuron modeling, emphasizing the use of computational models as links between the properties of neurons at several levels of detail. Topics include thermodynamics of ion flow in aqueous environments, biology and biophysics of ion channels, gating, nonlinear dynamics as a way of studying the collective properties of channels in a membrane, synaptic transmission, integration of electrical activity in multi-compartment dendritic tree models, and properties of neural networks. Students will study the properties of computational models of neurons; graduate students will develop a neuron model using data from the literature.  Meets with 580.639"
81,EN58045301,Immunoengineering Principles and Applications,"This course focuses on the application of engineering fundamentals to design cell/tissue-based systems for modulating immune response in treating disease. Concepts of immune cell development, surveillance, migration, and activation/inhibition will be introduced. Students will learn tissues in the body important for trafficking of immune players to local sites of therapeutic response, as well as techniques used for their characterization. Engineering concepts required to alter immune cell or tissue function will be explored. Emphasis will be placed on synthetic biology methods such as viral or CRISPR-based techniques as well as necessary (pre/post) isolation and adoptive transfer techniques."
82,EN60142001,Parallel Programming,"More advanced version of EN.601.320. Students may receive credit for EN.601.320 or EN.601.420, but not both. Prerequisite: EN.601.226 and EN.601.229 Computer System Fundamentals."
83,EN60149601,Computer Integrated Surgery II - Teams,"This weekly lecture/seminar course addresses similar material to 600.455, but covers selected topics in greater depth. In addition to material covered in lectures/seminars by the instructor and other faculty, students are expected to read and provide critical analysis/presentations of selected papers in recitation sessions. Students taking this course are required to undertake and report on a significant term project in teams of at least 3 students, under the supervision of the instructor and clinical end users. Typically, this project is an extension of the term project from 600.455, although it does not have to be. Grades are based both on the project and on classroom recitations. Students who prefer to do individual projects must register for EN.601.456 instead. [Applications, Oral]"
84,EN60149001,Introduction to Human-Computer Interaction,"This course is designed to introduce undergraduate and graduate students to design techniques and practices in human-computer interaction (HCI), the study of interactions between humans and computing systems. Students will learn design techniques and evaluation methods, as well as current practices and exploratory approaches, in HCI through lectures, readings, and assignments. Students will practice various design techniques and evaluation methods through hands-on projects focusing on different computing technologies and application domains. This course is intended for undergraduate and graduate students in Computer Science/Cognitive Science/Psychology. Interested students from different disciplines should contact the instructor before enrolling in this course. [Applications]
Recommended Background: Basic programming skills."
85,EN55337101,Cryptology and Coding,"Computing experience. A first course in the mathematical theory of secure and reliable electronic communication. Cryptology is the study of secure communication: How can we ensure the privacy of messages? Coding theory studies how to make communication reliable: How can messages be sent over noisy lines? Topics include finite field arithmetic, error-detecting and error-correcting codes, data compressions, ciphers, one-time pads, the Enigma machine, one-way functions, discrete logarithm, primality testing, secret key exchange, public key cryptosystems, digital signatures, and key escrow."
86,EN58048101,Precision Care Medicine II,"Precision Care Medicine is a two-semester project-based learning course. Projects will use methods of machine learning  and mechanistic and statistical modeling to develop novel data-driven solutions to important health care problems that arise in anesthesiology and critical care medicine. The scope of such problems is vast, and few have been approached before. Examples include data- and modeling-driven approaches to: optimal selection of patients to be admitted to ICUs; optimal determination of when it is safe to discharge a patient from an ICU; early prediction of pending changes in the clinical state of patients in an ICU; data-driven optimal selection of patient therapy; and others. In the first semester, students will assemble into teams of 3-4, and will work with their project mentors (clinical faculty in the ACCM Department; Drs. Winslow and Sarma) to develop a project work plan. In the remainder of the course, they will apply engineering approaches to solve the important health care problems in their projects. Class time will include: lectures and tutorials covering the physiology, medicine, and engineering principles relevant to each project; project work in a setting where faculty are available to assist students with challenges. Each team will present project updates to the entire class at regular intervals so that every student becomes familiar with each project. Teams will also be charged with designing, validating and deploying a web-application that delivers the computational method for solving the underlying healthcare problem to the user. HIPAA regulations, use of human subjects data, and requirements for FDA Class II and Medical Device Data Systems approval will be covered."
87,EN58015301,Structural Biology of Cells Laboratory,"Students will learn how to analyze biological data in computational labs that focus on protein 3D structural data (Structural Protein Engineering), DNA/genomics data (Genomes to Clinical Phenotypes) and live-cell imaging data (Molecular Tracking in Cells) to gain an integrated understanding of cells, tissues and the molecular basis of disease. This lab accompanies the 3-credit Structural Biology of Cells course to provide a rigorous foundation in cell structures, pathways and strategies relevant to medicine and bioengineering."
88,EN56043101,Preservation Engineering II: Theory and Practice,"Building on the content in Preservation Engineering I: Theory and Practice, this course will begin with materials introduced at the start of the Industrial Revolution--namely with the beginning of the use of iron materials as major structural elements within buildings. The course will continue with the introduction of cast iron, wrought iron, and finally, structural steel members. After introducing iron materials the course will continue with the early use of reinforced concrete as a major structural material. The course will discuss the historic structural analysis methods associated with such materials and contrast such methods with more modern analytical approaches. It will also discuss concrete deterioration and repair methods. Concepts related to masonry facade investigation and repair will be presented along with the analytical methods associated with thin-shell masonry construction from the 19th and 20th centuries. The course will conclude with a review of the assessment and retrofit of historic foundations."
89,EN58041201,BME Design Group,
90,EN58047901,Principles and Applications of Modern X-ray Imaging and Computed Tomography,"This course provides students with an intermediate-level understanding of the physics, engineering, algorithms, and applications of medical x-ray imaging and computed tomography (CT). It is intended for senior undergraduates (580.479) and/or graduate students (580.679) in Biomedical Engineering, Computer Science, Electrical and Computer Engineering, or related fields in science and engineering. Topics include the physics of x-ray interaction and detection, image quality modeling and assessment, 3D image reconstruction (including analytical and iterative approaches), and applications in diagnostic and image-guided procedures. Background knowledge required of students includes EN.580.472 and/or EN.580.473 and familiarity with Matlab."
91,EN55339101,Dynamical Systems,"Mathematical concepts and methods for describing and analyzing linear and nonlinear systems that evolve over time. Topics include boundedness, stability of fixed points and attractors, feedback, optimality, Liapounov functions, bifurcation, chaos, and catastrophes. Examples drawn from population growth, economic behavior, physical and engineering systems. The main mathematical tools are linear algebra and basic differential equations."
92,EN60145701,Computer Graphics,"This course introduces computer graphics techniques and applications, including image processing, rendering, modeling and animation. [Applications]"
93,EN53044101,Introduction to Biophotonics,"The primary aim for this course is to explore the unique and diverse properties of light that makes it suited for diagnosis, imaging, manipulation and control of biological structure and function from the nanoscale to the tissue level. The course will focus on different optical spectroscopic and microscopic modalities that provide biochemical and morphological information, while introducing new ideas on analysis and interpretation of the acquired data. We will also discuss manipulation methods, including optical tweezers and laser scissors, and low-level light therapy. In all of these areas, the idea is to develop a basic understanding of the subject and to use it for finding solutions to real-world problems in healthcare. Discussions and open exchanges of ideas will be strongly emphasized."
94,EN50011401,Gateway Computing: Matlab,"This course introduces fundamental programming concepts and techniques, and is intended for all who plan to develop computational artifacts or intelligently deploy computational tools in their studies and careers. Topics covered include the design and implementation of algorithms using variables, control structures, arrays, functions, files, testing, debugging, and structured program design. Elements of object-oriented programming. algorithmic efficiency and data visualization are also introduced. Students deploy programming to develop working solutions that address problems in engineering, science and other areas of contemporary interest that vary from section to section. Course homework involves significant programming. Attendance and participation in class sessions are expected."
95,EN50013001,Biomedical Engineering Innovation,"To introduce  biomedical engineering ideas, thoughts, and problem-solving to potential engineering students. The course is intended to establish the framework within which engineers typically operate. Registration Requirement: Algebra II with Trig. Open only to high school students who have successfully completed the Engineering Innovation Summer Program."
96,EN58048001,Precision Care Medicine I,"Precision Care Medicine is a two-semester project-based learning course. Projects will use methods of machine learning  and mechanistic and statistical modeling to develop novel data-driven solutions to important health care problems that arise in anesthesiology and critical care medicine. The scope of such problems is vast, and few have been approached before. Examples include data- and modeling-driven approaches to: optimal selection of patients to be admitted to ICUs; optimal determination of when it is safe to discharge a patient from an ICU; early prediction of pending changes in the clinical state of patients in an ICU; data-driven optimal selection of patient therapy; and others. In the first semester, students will assemble into teams of 3-4, and will work with their project mentors (clinical faculty in the ACCM Department; Drs. Winslow and Sarma) to develop a project work plan. In the remainder of the course, they will apply engineering approaches to solve the important health care problems in their projects. Class time will include: lectures and tutorials covering the physiology, medicine, and engineering principles relevant to each project; project work in a setting where faculty are available to assist students with challenges. Each team will present project updates to the entire class at regular intervals so that every student becomes familiar with each project. Teams will also be charged with designing, validating and deploying a web-application that delivers the computational method for solving the underlying healthcare problem to the user. HIPAA regulations, use of human subjects data, and requirements for FDA Class II and Medical Device Data Systems approval will be covered."
97,EN55349201,Mathematical Biology,"This course will examine the mathematical methods relevant to modeling biological phenomena, particularly dynamical systems and probability.  Topics include ordinary differential equations and their simulation; stability and phase plane analysis; branching processes; Markov chains; and stochastically perturbed systems. Biological applications will be drawn from population growth, predator-prey dynamics, epidemiology, genetics, intracellular transport, and neuroscience."
98,EN56011201,Electromagnetism & Sensors Lab,"Electricity and magnetism underpins much of modern engineering, as an alternative or addendum to classical Physics this, largely, hands-on laboratory course exposes engineers to the principles of electromagnetism and how they are leveraged in the modern world with a focus on their application in infrastructure and sensor networks."
99,EN60131501,Databases,"Introduction to database management systems and database design, focusing on the relational and object-oriented data models, query languages and query optimization, transaction processing, parallel and distributed databases, recovery and security issues, commercial systems and case studies, heterogeneous and multimedia databases, and data mining. [Systems] (www.cs.jhu.edu/~yarowsky/cs415.html)"
100,EN56010001,Civilization Engineered,"Civilizations have always faced challenges – whether naturally occurring or manmade – and have had to design solutions in order to survive.  Our modern civilization is no different; we face major societal challenges related to resilient cities, human safety and security, decision-making and healthcare, energy infrastructure, and space exploration and habitation, among others, and solving these challenges will require an interdisciplinary approach.  This course will look to the past – studying the engineering solutions developed by ancient civilizations – and at the current state of affairs – in preparation for designing solutions to the grand challenges of the future."
101,EN58049401,Build an Imager,"In this hands-on course, students will build an imaging device and learn to apply signals and systems knowledge in imaging system characterization, optimization, and post-processing. The course includes an introduction to two-dimensional signal processing techniques, basic imaging principles, imaging systems modeling, and optimization methods."
102,EN55344901,Advanced Equity Derivatives,"This course will cover the pricing, trading and risk management of equity derivatives, with emphasis on more exotic derivatives such as path-dependent and multi-asset derivatives.  The course will emphasize practical issues:  students will build their own pricing and risk management tools, and gain experience simulating the dynamic hedging of a complex derivatives portfolio. Students will practice structuring and selling equity derivative products.  Pricing issues such a model selection, unobservable input parameters and calibration will be discussed, and students will learn techniques to manage the often highly nonlinear and discontinuous risks associated with these products. The course will have a significant computing component:  both in the classroom and as homework projects, students will use Excel, write VBA macros and write and call C++ routines in the Microsoft Windows environment (which is the most common computing environment used by the financial industry)."
103,EN56045101,Civil Engineering Design I,Prereq: Senior status or Perm. Req’d.  A study of the engineering design process from problem definition to the final design.  There are team projects which include written and oral presentations.
104,EN55346501,Introduction to Convexity,"Convexity is a simple mathematical concept that has become central in a diverse range of applications in engineering, science and business applications. Our main focus from the applications perspective will be the use of convexity within optimization problems, where convexity plays a key role in identifying the ""easy"" problems from the ""hard"" ones. The course will have an equal emphasis on expositing the rich mathematical structure of the field itself (properties of convex sets, convex functions, Helly-Caratheorody-Radon type theorems, polarity/duality, subdifferential calculus, polyhedral theory), and demonstrating how these ideas can be leveraged to model and solve optimization problems (via a detailed study of linear programming and basics of nonlinear convex optimization). Recommend Course Background: Familiarity with basic real analysis, linear algebra."
105,EN60134001,Web Security,"This course begins with reviewing basic knowledge of the World Wide Web, and then exploring the central defense concepts behind Web security, such as same-origin policy, cross-origin resource sharing, and browser sandboxing. It will cover the most popular Web vulnerabilities, such as cross-site scripting (XSS) and SQL injection, as well as how to attack and penetrate software with such vulnerabilities. Students will learn how to detect, respond, and recover from security incidents. Newly proposed research techniques will also be discussed. [Systems]"
106,EN58023801,Neuro Data Design II,"This course is intended for freshmen or sophmores who want to join an existing team in the spring.  See description for EN.580.437-438.
Students will work in small teams on the next phase of a project for the targeted brain science community).  The spring semester will focus on developing the tool, getting regular feedback, and
iterating, using the agile/lean development process.  Recommended background: numerical programming."
107,EN60127701,Disinformation Self-Defense,"Scientific, statistical and logical literacy is a necessary skill for evaluating policy proposals, reading news articles with an appropriately critical eye, and making informed choices as consumers and voters. Misunderstanding of claims made in scientific publications, online publishing platforms, and mass media drives, in part, the spread of malicious misinformation and propaganda online. Further, many actors have the means, the motive and the opportunity to mislead the public in a variety of subtle and not so subtle ways. This class will give you tools to discern valid and invalid forms of inference and discourse, and give you tools to communicate precisely, argue appropriately, and stay on top of research and news with an appropriately skeptical attitude. The class will draw on historical and modern literature on linguistic, logical, and probabilistic fallacies, statistical and logical inference, data visualization, cognitive biases, and the scientific method."
108,EN60122901,Computer System Fundamentals,"We study the design and performance of a variety of computer systems from simple 8-bit micro-controllers through 32/64-bit RISC architectures all the way to ubiquitous x86 CISC architecture. We'll start from logic gates and digital circuits before delving into arithmetic and logic units, registers, caches, memory, stacks and procedure calls, pipelined execution, super-scalar architectures, memory management units, etc. Along the way we'll study several typical instruction set architectures and review concepts such as interrupts, hardware and software exceptions, serial and other peripheral communications protocols, etc. A number of programming projects, frequently done in assembly language and using various processor simulators, round out the course. [Systems]. Students may receive credit for only one of EN.601.239, EN.600.233, EN.600.333 or EN.600.433."
109,EN58042501,Radiology for Engineers,"Prereq: 580.421 and 580.422 or equiv.  Recommended: 110.201, 110.302, signals and elementary probability.   Ion channels are key signaling molecules that support electrical communication throughout the body.  As such, these channels are a central focus of biomedical engineering as it relates to neuroscience, computational biology, biophysics, and drug discovery.  The course introduces the engineering and molecular strategies used to understand the function of ionic channels.  The course also surveys key papers that paint the current picture of how ion channels open and conduct ions.  Biological implications of these properties are emphasized throughout.  Finally, the course introduces how optical and electrophysiological methods now promise to revolutionize understanding of ionic channels.  This course can be seen as a valuable partner of Models of the Neuron (580.439).
"
110,EN53035201,Materials Selection,"Prereq: 530.215 or Perm.  Req’d.  An introduction to the properties and applications of a wide variety of materials: metals, polymers, ceramics, and composites. Considerations include availability and cost, formability, rigidity, strength, and toughness. This course is designed to facilitate sensible materials choices so as to avoid catastrophic failures leading to the loss of life and property."
111,EN58047101,Principles of Design of BME Instrumentation,"Prereq: 520.345   Lab Fee: $125   
Students satisfying the design requirement must also register for 580.571
This core design course will cover lectures and hands-on labs. The material covered will include fundamentals of biomedical sensors and instrumentation, FDA regulations, designing with electronics, biopotentials and ECG amplifier design, recording from heart, muscle, brain, etc., diagnostic and therapeutic devices (including pacemakers and defibrillators), applications in prosthetics and rehabilitation, and safety. The course includes extensive laboratory work involving circuits, electronics, sensor design and interface, and building complete biomedical instrumentation. The students will also carry out design challenge projects, individually or in teams (examples include “smart cane for blind,” “computer interface for quadriplegic”)."
112,EN60142901,Functional Programming in Software Engineering,"How can we effectively use functional programming techniques to build real-world software?  This course will primarily focus on using the OCaml programming language for this purpose.  Topics covered include OCaml basics, modules, standard libraries, testing, quickcheck, build tools, functional data structures and efficiency analysis, monads, streams, and promises.  Students will practice what they learn in lecture via functional programming assignments and a final project."
113,EN55345001,Computational Molecular Medicine,"Computational systems biology has emerged as the dominant framework for analyzing high-dimensional “omics” data in order to uncover the relationships among molecules, networks and disease.  In particular, many of the core methodologies are based on statistical modeling, including machine learning, stochastic processes and statistical inference. We will cover the key aspects of this methodology, including measuring associations, testing multiple hypotheses, and learning predictors, Markov chains and graphical models. In addition, by studying recent important articles in cancer systems biology, we will illustrate how this approach enhances our ability to annotate genomes, discover molecular disease networks, detect disease, predict clinical outcomes, and characterize disease progression. Whereas a good foundation in probability and statistics is necessary, no prior exposure to molecular biology is required (although helpful)."
114,EN55348101,Numerical Analysis,"Brief review of topics in elementary numerical analysis such as floating-point arithmetic, Gaussian elimination for linear equations, inter-polation and approximation. Core topics to be covered: numerical linear algebra including eigenvalue and linear least-squares problems, iterative algorithms for nonlinear equations and least squares problems, and convergence theory of numerical methods. Other possible topics: sparse matrix computations, numerical solution of partial differential equations, finite element methods, and parallel algorithms."
115,EN56033001,Foundation Design,Application of soil mechanics theory and soil test results to the analysis and design of foundations for structures; retaining walls; embankments; design of pile and shallow footing foundations; slope stability. Prereq: 560.305
116,EN60144101,Blockchains and Cryptocurrencies,This course will introduce students to cryptocurrencies and the main underlying technology of Blockchains. The course will start with the relevant background in cryptography and then proceed to cover the recent advances in the design and applications of blockchains. This course should primarily appeal to students who want to conduct research in this area or wish to build new applications on top of blockchains. It should also appeal to those who have a casual interest in this topic or are generally interested in cryptography. Students are expected to have mathematical maturity.  [Analysis]
117,EN60146601,Information Retrieval and Web Agents,"An in-depth, hands-on study of current information retrieval techniques and their application to developing intelligent WWW agents. Topics include a comprehensive study of current document retrieval models, mail/news routing and filtering, document clustering, automatic indexing, query expansion, relevance feedback, user modeling, information visualization and usage pattern analysis. In addition, the course explores the range of additional language processing steps useful for template filling and information extraction from retrieved documents, focusing on recent, primarily statistical methods. The course concludes with a study of current issues in information retrieval and data mining on the World Wide Web. Topics include web robots, spiders, agents and search engines, exploring both their practical implementation and the economic and legal issues surrounding their use. Recommended Course Background: EN.601.226"
118,EN53046401,Energy Systems Analysis,"Prerequisite:  Basic Linear Alegbra (550.291, 110.201, or equivalent acceptable).
This course discusses the grid integration of renewable energy systems.  The main emphasis is on grid level effects of renewable energy, particularly wind power systems.  It begins with an introduction to basic power system concepts along with power flow analysis (and optimization).  Then, important concepts for wind power systems are discussed.  Following that, integration issues for wind power at the transmission level and solar cell integration at the distribution level are introduced.  The last part of the course will focus on current research in these areas.  Students will choose a system to research and present a project or literature review at the end of the term. Prior knowledge of optimization is helpful, but not required."
119,EN58031201,BME Design Group,"A two semester course sequence where juniors and seniors work with a team leader and a group of BME freshmen and sophomores, to solve open-ended problems in biomedical engineering. Upperclassmen are expected to apply their general knowledge and experience, and their knowledge in their concentration area, to teach lower classmen and to generate the solution to practical problems encountered in biomedical engineering."
120,EN56045201,Civil Engineering Design II,A study of the engineering design process from problem definition to the final design.  There are team projects which include written and oral presentations.  Requirements:  Student must be a senior in Civil Engineering.
121,EN60144301,Security & Privacy in Computing,"Lecture topics will include computer security, network security, basic cryptography, system design methodology, and privacy. There will be a heavy work load, including written homework, programming assignments, exams and a comprehensive final. The class will also include a semester-long project that will be done in teams and will include a presentation by each group to the class. [Applications] Recommended Course Background: A basic course in operating systems and networking, or permission of instructor."
122,EN53041801,Aerospace Structures,"Prereq: 530.215 and 530.352 or permission of instructor
An introduction to the design of aircraft and spacecraft structures and components. This course will build on skills learned in 530.215, Mechanics-Based Design and 530.352, Materials Selection."
123,EN60131801,Operating Systems,"This course covers fundamental topics related to operating systems theory and practice. Topics include processor management, storage management, concurrency control, multi-programming and processing, device drivers, operating system components (e.g., file system, kernel), modeling and performance measurement, protection and security, and recent innovations in operating system structure. Course work includes the implementation of operating systems techniques and routines, and critical parts of a small but functional operating system."
124,EN50013201,Bootcamp: Java,This on-line course provides students who have already achieved a basic understanding of programming and computational thinking in one programming language with an opportunity to apply these skills in another programming language. Students will be expected to complete projects to demonstrate proficiency in the new language. Satisfactory/unsatisfactory only.
125,EN55345301,Mathematical Game Theory,"Mathematical analysis of cooperative and noncooperative games. Theory and solution methods for matrix game (two players, zero-sum payoffs, finite strategy sets), games with a continuum of strategies, N-player games, games in rule-defined form. The roles of information and memory. Selected applications to economic, recreational, and military situations. Prereq: Multivariable Calculus, probability, linear algebra."
126,EN56032501,Structural Design II,"Principles of behavior of reinforced concrete beams, columns, and slabs, with application to the design of elementary structures are introduced.  The ultimate strength and the elastic methods of analysis are used.   Prereq: 560.206"
127,EN58045201,Cell and Tissue Engineering Lab,"This laboratory course will consist of three experiments that will provide students with valuable hands-on experience in cell and tissue engineering. Experiments include the basics of cell culture techniques, gene transfection and metabolic engineering, basics of cell-substrate interactions I, cell-substrate interactions II, and cell encapsulation and gel contraction.
- Lab periods are in 2 hour blocks (4-6 or 6-8).  However some lectures may need a 4 hour block for a particular lab."
128,EN60145601,Computer Integrated Surgery II,"This weekly lecture/seminar course addresses similar material to EN.601.445, but covers selected topics in greater depth. In addition to material covered in lectures/seminars by the instructor and other faculty, students are expected to read and provide critical analysis/presentations of selected papers in recitation sessions. Students taking this course are required to undertake and report on a significant term project under the supervision of the instructor and clinical end users. Typically, this project is an extension of the term project from EN.601.445, although it does not have to be. Grades are based both on the project and on classroom recitations. Students wishing to attend the weekly lectures as a 1-credit seminar should sign up for EN.600.452. [Applications]"
129,EN58024801,Systems Biology of the Cell,"Cellular systems biology provides a theoretical and quantitative understanding of the interactions between DNA, RNA, and proteins that create the well-regulated system we call life. This course 
develops first-principles models for the central dogma of molecular biology: information flow through protein signal transduction pathways, gene regulation by protein-DNA physical interactions, 
transcription of DNA to RNA, translation of RNA to protein, and feedback regulation that closes the cycle. Topics include complex analysis and contour integrals, spectral transforms, linear models for cell signaling, positive and negative feedback, non-linearities introducted by saturation and cooperativity, information content and combinatorial regulation, and instabilities leading to cell fate 
specification. Recommended Course Background: Linear Algebra, Systems and Controls and programming."
130,EN56021101,Statics and Mechanics of Materials Laboratory,The complementary laboratory course for and required corequisite to EN.560.201 Statics and Mechanics of Materials.
131,EN53011601,MechE Freshman Lab II,"Hands-on laboratory in which students continue to develop their engineering design skills. Laboratory topics include engines and motors, microcontrollers, sensors, and applications of MATLAB to mechanical engineering.  An interdisciplinary design project allows students to apply their learning and skills while working with fellow students from outside of Mechanical Engineering. Restricted to Mechanical Engineering, Engineering Mechanics, and Undecided Engineering Majors."
132,EN53020201,Mechanical Engineering Dynamics,"Basic principles of classical mechanics applied to the motion of particles, system of particles and rigid bodies. Kinematics, analytical description of motion; rectilinear and curvilinear motions of particles; rigid body motion. Kinetics: force, mass, and acceleration; energy and momentum principles. Introduction to vibration. Includes laboratory experience."
133,EN58044401,Biomedical Applications of Glycoengineering,"This course provides an overview of carbohydrate-based technologies in biotechnology and medicine. The course will begin by briefly covering basics of glycobiology and glycochemistry followed by detailed illustrative examples of biomedical applications of glycoengineering. A sample of these applications include the role of sugars in preventative medicine (e.g., for vaccine development and probiotics), tissue engineering (e.g., exploiting natural and engineered polysaccharides for creating tissue or organs de novo in the laboratory), regenerative medicine (e.g., for the treatment of arthritis or degenerative muscle disease), and therapy (e.g., cancer treatment).  A major part of the course grade will be based on class participation with each student expected to provide a “journal club” presentation of a relevant paper as well as participate in a team-based project designed to address a current unmet clinical need that could be fulfilled through a glycoengineering approach. 
Recommended Course Background: EN.580.221 Molecules and Cells"
134,EN55342001,Intro to Probability,"Probability and its applications, at the calculus level. Emphasis on techniques of application rather than on rigorous mathematical demonstration. Probability, combinatorial probability, random variables, distribution functions, important probability distributions, independence, conditional probability, moments, covariance and correlation, limit theorems.  Auditors are not permitted. Students can use any of the 6th, 7th or 8th editions of the textbook. Recommended Course Background: one year of calculus; Corequisite: multivariable calculus."
135,EN53011501,MechE Freshman Lab I,"Hands-on laboratory complementing EN.530.111, including experiments, mechanical dissections, sketching and CAD, and a cornerstone design project. Experiments and mechanical dissections connect physical principles to practical engineering applications. Sketching and CAD work build the students’ design and communication skills. The design project allows students to synthesize a working system by combining knowledge of mechanics and design with practical engineering skills."
136,EN56045001,Operations Research,"An introduction to operations research and its applications. The course will review the basics of mathematical modelling, linear programming, primal and dual Simplex methods, post-optimization analysis, decomposition methods, and heuristic methods along with sample applications.  Recommended course background AS.110.201 and AS.110.109 or equivalent."
137,EN56029101,CaSE Coding,"Having taken a computing course in the freshman year, students will further develop their programming skills to solve, understand, or automate problems specific to civil and systems engineering."
138,EN60123101,Automata & Computation Theory,"This course is an introduction to the theory of computing. topics include design of finite state automata, pushdown automata, linear bounded automata, Turing machines and phrase structure grammars; correspondence between automata and grammars; computable functions, decidable and undecidable problems, P and NP problems, NP-completeness, and randomization. Students may not receive credit for EN.601.231/EN.600.271 and EN.601.631/EN.600.471 for the same degree."
139,EN58021101,Design Team Health-Tech Project I,Sophomore-level version of 580.311-312 or Perm. Req’d
140,EN58048701,Computational Medicine: Cardiology Laboratory,A laboratory course in which various physiological preparations are used as examples of problems of applying technology in biological systems. The emphasis in this course is on the design of experimental measurements and on physical models of biological systems.
141,EN55349401,Applied and Computational Multilinear Algebra,"In this seminar we plan to discuss generalizations of theorems and algorithms from matrix theory to hypermatrices. More specifically the seminar will discuss hypermatrix/tensor algebras, rank, spectra and transforms. Using the python friendly free open-source mathematics software SageMath and the hypermatrix algebra package we will discuss applications of hypermatrices to combinatorics, machine learning and data analysis.

Preliminary knowledge of the Python language is not required."
142,EN60122601,Data Structures,"This course covers the design and implementation of data structures including arrays, stacks, queues, linked lists, binary trees, heaps, balanced trees (e.g. 2-3 trees, AVL-trees) and graphs. Other topics include sorting, hashing, memory allocation, and garbage collection. Course work involves both written homework and Java programming assignments."
143,EN60131001,Software for Resilient Communities,"This is a project-based course focusing on the design and implementation of practical software systems. Students will work in small teams to design and develop useful open-source software products that support our communities.  Students will be paired with community partners and will aim to develop software that can be used after the course ends to solve real problems facing those partners today. Instructors will connect with the community partners and determine viable project areas prior to the course start. Students will meet with their community partners to analyze the challenges in their project area, agree on a concrete target project outcome, and gather requirements for their project. Based on these requirements, students will design and implement open-source software systems. [Oral]"
144,EN55343901,Time Series Analysis,"Time series analysis from the frequency and time domain approaches. Descriptive techniques; regression analysis; trends, smoothing, prediction; linear systems; serial correlation; stationary processes; spectral analysis."
145,EN60142101,Object Oriented Software Engineering,"This course covers object-oriented software construction methodologies and their application. The main component of the course is a large team project on a topic of your choosing. Course topics covered include object-oriented analysis and design, UML, design patterns, refactoring, program testing, code repositories, team programming, and code reviews. [Systems or Applications] (http://pl.cs.jhu.edu/oose/index.shtml)"
